Wort
im Dunkele tappen
keinen Schimmer haben
nicht stillsitzen können
den Mund aufmachen
das Maul aufmachen
die Schnauze aufmachen
wollen nicht mehr
den Beleidigten spielen
die beleidigt Leberwurst
ein Gesicht machen
ein Gesicht ziehen
eine Flappe ziehen
eine Fleppe ziehen
eine Schnute ziehen
einen Flunsch ziehen
nicht entscheiden können
im ungewiß lassen
in der schweben
noch nicht entscheiden
in Schweigen hüllen
still und stumm
eine Macke haben
eine Meise haben
eine schrauben locker
einen Dachschaden haben
einen Ecke abhaben
einen Hammer haben
einen Haschmich haben
einen Huscher haben
einen Klamsch haben
einen Klopfer haben
einen knacks weghaben
einen Knall haben
einen Pecker haben
einen piep haben
einen Piepmatz haben
einen Schaden haben
einen Schatten haben
einen Schlag haben
einen Schuss haben
einen Sockenschuss haben
einen Sonnenstich haben
einen Spleen haben
einen Stich haben
einen Vogel haben
Verstand verlieren haben
ins Gehirn geschissen
an Wahnvorstellung leiden
ins Gesicht lachen
ins Lächerliche ziehen
nicht ernst nehmen
nicht ausreichend belüften
durch die Hintertür
Überprüfung nicht standhalten
Situation ohne Sieger
nicht zu entschuldigen
nicht zu überschauen
nicht zu durchblicken
kaum was bringen
noch nicht erledigen
noch nicht abschließen
noch nicht fertigstellen
nicht zu empfehlen
wie ein Schuljung
hin und herüberlegen
ein Ende bereiten
einen Riegel vorschieben
in Armut geraten
in Armut fallen
bis zum Starrsinn
sehen nach aus
im Streit auseinandergehen
nicht vergessen können
mit auffällig Sozialverhalten
vor Hunger sterben
die Heimat verlassen
nicht richtig lesen
entscheidend Fehler machen
auf spät verschieben
auf spät vertagen
nach hinten verlegen
den Blick entziehen
auf Tauchstation gehen
lasten ein Fluch
Bild der Verwüstung
Bild der Zerstörung
nach einem Bombenangriff
keine endgültig Lösung
ins Unreine sprechen
Reich an Widersprüchlichkeit
keine Wirkung zeigen
können nicht abstellen
können nicht aufhören
können nicht lassen
von Zweifel plagen
zu hoch bewerten
viel zu groß
die Seite wechseln
zu viele Besucher
